GTP [ChEBI:15996],CHEBI:15996
"3-decaprenyl-4,5-dihydroxybenzoic acid [ChEBI:50775]",CHEBI:50775
3-decaprenyl-4-hydroxy-5-methoxybenzoic acid [ChEBI:50776],CHEBI:50776
L-methionine zwitterion [ChEBI:57844],CHEBI:57844
4-hydroxy-3-all-trans-decaprenylbenzoic acid [ChEBI:64136],CHEBI:64136
3-hexaprenyl-4-hydroxybenzoic acid [ChEBI:31116],CHEBI:31116
"3-hexaprenyl-4,5-dihydroxybenzoic acid [ChEBI:18081]",CHEBI:18081
4-hydroxybenzoic acid [ChEBI:30763],CHEBI:30763
3-demethylubiquinol-10 [ChEBI:64182],CHEBI:64182
ubiquinol-10 [ChEBI:64183],CHEBI:64183
2-decaprenyl-6-methoxy-3-methylhydroquinone [ChEBI:64181],CHEBI:64181
all-trans-5-methoxy-2-methyl-3-hexaprenylhydroquinone [ChEBI:61473],CHEBI:61473
3-demethylubiquinol-6 [ChEBI:64253],CHEBI:64253
2-decaprenyl-6-methoxyhydroquinone [ChEBI:64180],CHEBI:64180
all-trans-6-methoxy-2-hexaprenylhydroquinone [ChEBI:61472],CHEBI:61472
2-decaprenyl-6-methoxyphenol [ChEBI:50774],CHEBI:50774
2-hexaprenyl-6-methoxyphenol [ChEBI:1109],CHEBI:1109
3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid [ChEBI:16835],CHEBI:16835
ribonucleoside triphosphate [ChEBI:17972],CHEBI:17972
N-carbamoyl-L-aspartic acid [ChEBI:15859],CHEBI:15859
(S)-dihydroorotic acid [ChEBI:17025],CHEBI:17025
carbamoyl phosphate [ChEBI:17672],CHEBI:17672
hydrogencarbonate [ChEBI:17544],CHEBI:17544
orotic acid [ChEBI:16742],CHEBI:16742
orotidine 5'-phosphate [ChEBI:15842],CHEBI:15842
5'-xanthylic acid [ChEBI:15652],CHEBI:15652
2'-deoxyribonucleoside 5'-triphosphate(4-) [ChEBI:61560],CHEBI:61560
triphosphate(5-) [ChEBI:18036],CHEBI:18036
2'-deoxyribonucleoside [ChEBI:18274],CHEBI:18274
inosine [ChEBI:17596],CHEBI:17596
guanosine [ChEBI:16750],CHEBI:16750
molybdopterin [ChEBI:44074],CHEBI:44074
hypoxanthine [ChEBI:17368],CHEBI:17368
9H-xanthine [ChEBI:17712],CHEBI:17712
2'-deoxyinosine [ChEBI:28997],CHEBI:28997
D-ribose 1-phosphate [ChEBI:35425],CHEBI:35425
2-deoxy-D-ribofuranose 1-phosphate [ChEBI:28542],CHEBI:28542
2'-deoxyinosine-5'-monophosphate [ChEBI:28806],CHEBI:28806
2'-deoxyguanosine 5'-monophosphate [ChEBI:16192],CHEBI:16192
2'-deoxyguanosine [ChEBI:17172],CHEBI:17172
guanine [ChEBI:16235],CHEBI:16235
adenine [ChEBI:16708],CHEBI:16708
2'-deoxyinosine-5'-diphosphate [ChEBI:28823],CHEBI:28823
2-hydroxy-ATP [ChEBI:65119],CHEBI:65119
2-hydroxy-AMP [ChEBI:65129],CHEBI:65129
8-oxo-dGTP [ChEBI:63220],CHEBI:63220
8-oxo-dGMP [ChEBI:63223],CHEBI:63223
8-hydroxy-dADP [ChEBI:70963],CHEBI:70963
8-hydroxy-dAMP [ChEBI:70964],CHEBI:70964
ADP-D-ribose [ChEBI:16960],CHEBI:16960
8-oxo-dGDP [ChEBI:63728],CHEBI:63728
2-hydroxy-dATP [ChEBI:63208],CHEBI:63208
2-hydroxy-dAMP [ChEBI:63211],CHEBI:63211
8-oxo-GDP [ChEBI:65134],CHEBI:65134
8-oxo-GMP [ChEBI:65135],CHEBI:65135
IDP [ChEBI:17808],CHEBI:17808
aldehydo-D-ribose 5-phosphate [ChEBI:17797],CHEBI:17797
2-deoxyribose phosphate [ChEBI:19569],CHEBI:19569
"7,9-dihydro-1H-purine-2,6,8(3H)-trione [ChEBI:17775]",CHEBI:17775
XTP [ChEBI:10049],CHEBI:10049
ITP [ChEBI:16039],CHEBI:16039
dITP [ChEBI:28807],CHEBI:28807
nucleoside triphosphate [ChEBI:17326],CHEBI:17326
nucleoside diphosphate [ChEBI:16862],CHEBI:16862
CDP [ChEBI:17239],CHEBI:17239
ribonucleoside monophosphate [ChEBI:26558],CHEBI:26558
dTDP [ChEBI:18075],CHEBI:18075
dTMP [ChEBI:17013],CHEBI:17013
2'-deoxycytosine 5'-monophosphate [ChEBI:15918],CHEBI:15918
dUMP [ChEBI:17622],CHEBI:17622
2'-deoxycytidine [ChEBI:15698],CHEBI:15698
2'-deoxyuridine [ChEBI:16450],CHEBI:16450
uridine [ChEBI:16704],CHEBI:16704
thymidine [ChEBI:17748],CHEBI:17748
cytidine [ChEBI:17562],CHEBI:17562
N-carbamoyl-beta-alanine [ChEBI:18261],CHEBI:18261
beta-alanine [ChEBI:16958],CHEBI:16958
"5,6-dihydrouracil [ChEBI:15901]",CHEBI:15901
uracil [ChEBI:17568],CHEBI:17568
uridine 2'-phosphate [ChEBI:28070],CHEBI:28070
3'-UMP [ChEBI:28895],CHEBI:28895
2'-deoxyuridine 3'-monophosphate [ChEBI:46322],CHEBI:46322
thymine [ChEBI:17821],CHEBI:17821
3-ureidoisobutyric acid [ChEBI:1670],CHEBI:1670
(R)-3-aminoisobutyric acid [ChEBI:16320],CHEBI:16320
"5,6-dihydrothymine [ChEBI:27468]",CHEBI:27468
3-oxopropanoic acid [ChEBI:17960],CHEBI:17960
N(6)-methyl-AMP [ChEBI:40196],CHEBI:40196
methylamine [ChEBI:16830],CHEBI:16830
pseudouridine 5'-phosphate [ChEBI:18116],CHEBI:18116
pseudouridine [ChEBI:17802],CHEBI:17802
nucleoside 5'-diphosphate(3-) [ChEBI:57930],CHEBI:57930
2'-deoxyribonucleoside 5'-diphosphate(3-) [ChEBI:73316],CHEBI:73316
dUDP [ChEBI:28850],CHEBI:28850
dihydrofolic acid [ChEBI:15633],CHEBI:15633
dCDP [ChEBI:28846],CHEBI:28846
dUTP [ChEBI:17625],CHEBI:17625
dGDP [ChEBI:28862],CHEBI:28862
"P(1),P(6)-bis(5'-adenosyl)hexaphosphate [ChEBI:63689]",CHEBI:63689
adenosine 5'-tetraphosphate(5-) [ChEBI:58450],CHEBI:58450
5-iododeoxycytidine triphosphate [ChEBI:86351],CHEBI:86351
5-iododeoxycytidine monophosphate [ChEBI:43263],CHEBI:43263
Ac-Asp-Glu(3-) [ChEBI:76931],CHEBI:76931
N-acetyl-L-aspartate(2-) [ChEBI:16953],CHEBI:16953
3-sulfino-L-alanine [ChEBI:16345],CHEBI:16345
L-cysteic acid [ChEBI:17285],CHEBI:17285
hypotaurine [ChEBI:16668],CHEBI:16668
taurine [ChEBI:15891],CHEBI:15891
L-asparagine zwitterion [ChEBI:58048],CHEBI:58048
ammonia [ChEBI:16134],CHEBI:16134
N-acetyl-L-aspartic acid [ChEBI:21547],CHEBI:21547
homocysteine [ChEBI:17230],CHEBI:17230
glycine betaine [ChEBI:17750],CHEBI:17750
"N,N-dimethylglycine [ChEBI:17724]",CHEBI:17724
purine-6-thiol [ChEBI:2208],CHEBI:2208
6-methylthiopurine [ChEBI:28279],CHEBI:28279
"3,4-dihydroxybenzoic acid [ChEBI:36062]",CHEBI:36062
3-hydroxy-4-methoxybenzoate [ChEBI:63797],CHEBI:63797
pyridine [ChEBI:16227],CHEBI:16227
N-methylpyridinium [ChEBI:15761],CHEBI:15761
mercaptoethanol [ChEBI:41218],CHEBI:41218
2-methylthioethanol [ChEBI:63861],CHEBI:63861
betaine aldehyde [ChEBI:15710],CHEBI:15710
methylcobalamin [ChEBI:28115],CHEBI:28115
5-methyltetrahydrofolic acid [ChEBI:15641],CHEBI:15641
5-methyltetrahydrofolyl polyglutamate macromolecule [ChEBI:63907],CHEBI:63907
"5,10-methylenetetrahydrofolate polyglutamate macromolecule [ChEBI:60473]",CHEBI:60473
tetrahydrofolyl-poly(glutamic acid) macromolecule [ChEBI:28624],CHEBI:28624
10-formyltetrahydrofolyl polyglutamate macromolecule [ChEBI:28010],CHEBI:28010
"5,10-methenyltetrahydrofolate polyglutamate macromolecule [ChEBI:65049]",CHEBI:65049
folic acid [ChEBI:27470],CHEBI:27470
L-cystathionine [ChEBI:17482],CHEBI:17482
2-oxobutanoic acid [ChEBI:30831],CHEBI:30831
L-cysteine zwitterion [ChEBI:35235],CHEBI:35235
cysteamine [ChEBI:17141],CHEBI:17141
L-homolanthionine [ChEBI:62856],CHEBI:62856
hydrogen sulfide [ChEBI:16136],CHEBI:16136
thiosulfate(2-) [ChEBI:16094],CHEBI:16094
thiocyanic acid [ChEBI:29200],CHEBI:29200
sulfite [ChEBI:17359],CHEBI:17359
3-mercaptopyruvic acid [ChEBI:16208],CHEBI:16208
hydrogensulfite [ChEBI:17137],CHEBI:17137
sulfate [ChEBI:16189],CHEBI:16189
molybdopterin cofactor [ChEBI:25372],CHEBI:25372
L-lanthionine [ChEBI:21347],CHEBI:21347
S-methyl-5-thio-alpha-D-ribose 1-phosphate(2-) [ChEBI:58533],CHEBI:58533
S-methyl-5-thio-D-ribulose 1-phosphate(2-) [ChEBI:58548],CHEBI:58548
5'-S-methyl-5'-thioadenosine [ChEBI:17509],CHEBI:17509
spermidine [ChEBI:16610],CHEBI:16610
S-adenosylmethioninamine [ChEBI:15625],CHEBI:15625
spermine [ChEBI:15746],CHEBI:15746
putrescine [ChEBI:17148],CHEBI:17148
"5-(methylsulfanyl)-2,3-dioxopentyl phosphate(2-) [ChEBI:58828]",CHEBI:58828
1-hydroxy-5-(methylthio)-3-oxopent-1-en-2-olate [ChEBI:58795],CHEBI:58795
4-methylthio-2-oxobutanoate [ChEBI:16723],CHEBI:16723
L-alpha-amino acid zwitterion [ChEBI:59869],CHEBI:59869
2-oxo monocarboxylic acid anion [ChEBI:35179],CHEBI:35179
S-methyl-L-methionine [ChEBI:17728],CHEBI:17728
N-acetyl-L-glutamic acid [ChEBI:17533],CHEBI:17533
L-glutamic 5-semialdehyde [ChEBI:17232],CHEBI:17232
urea [ChEBI:16199],CHEBI:16199
(N(omega)-L-arginino)succinic acid [ChEBI:15682],CHEBI:15682
(S)-1-pyrroline-5-carboxylate [ChEBI:17388],CHEBI:17388
4-hydroxy-L-proline [ChEBI:18240],CHEBI:18240
L-proline zwitterion [ChEBI:60039],CHEBI:60039
guanidinoacetic acid [ChEBI:16344],CHEBI:16344
creatine [ChEBI:16919],CHEBI:16919
N-phosphocreatine [ChEBI:17287],CHEBI:17287
creatinine [ChEBI:16737],CHEBI:16737
L-saccharopine [ChEBI:16927],CHEBI:16927
L-allysine [ChEBI:17917],CHEBI:17917
L-2-aminoadipate(2-) [ChEBI:17082],CHEBI:17082
erythro-5-phosphonooxy-L-lysine [ChEBI:16752],CHEBI:16752
(S)-1-piperideine-6-carboxylate [ChEBI:58769],CHEBI:58769
L-pipecolic acid [ChEBI:30913],CHEBI:30913
1-piperideine-2-carboxylate [ChEBI:16187],CHEBI:16187
5-hydroxylysine [ChEBI:60175],CHEBI:60175
methylselenenic acid [ChEBI:77062],CHEBI:77062
methylselenol [ChEBI:64685],CHEBI:64685
methylseleninic acid [ChEBI:77012],CHEBI:77012
1beta-methylseleno-N-acetyl-D-galactosamine [ChEBI:77010],CHEBI:77010
2-acetamidoglucal [ChEBI:73979],CHEBI:73979
1beta-glutathionylseleno-N-acetyl-D-galactosamine [ChEBI:77008],CHEBI:77008
glutathioselenol [ChEBI:64729],CHEBI:64729
N-acetyl-beta-D-galactosaminyl group [ChEBI:17806],CHEBI:17806
N-acetyl-beta-D-galactosamine [ChEBI:28497],CHEBI:28497
selenodiglutathione [ChEBI:26634],CHEBI:26634
selenite(2-) [ChEBI:18212],CHEBI:18212
3'-phosphoadenylyl selenate [ChEBI:28450],CHEBI:28450
"adenosine 3',5'-bismonophosphate [ChEBI:17985]",CHEBI:17985
adenylyl selenate [ChEBI:2485],CHEBI:2485
selenic acid [ChEBI:18170],CHEBI:18170
L-selenomethionine [ChEBI:30021],CHEBI:30021
L-adenosylselenomethionine [ChEBI:9066],CHEBI:9066
L-selenocysteine [ChEBI:16633],CHEBI:16633
selane [ChEBI:16503],CHEBI:16503
L-selenocystathionine [ChEBI:27760],CHEBI:27760
L-selenohomocysteine [ChEBI:9096],CHEBI:9096
L-adenosylselenohomocysteine [ChEBI:77028],CHEBI:77028
N(tele)-methylhistamine [ChEBI:29009],CHEBI:29009
sarcosine [ChEBI:15611],CHEBI:15611
1-methylnicotinamide [ChEBI:16797],CHEBI:16797
Se-methyl-L-selenocysteine [ChEBI:27812],CHEBI:27812
selenophosphate [ChEBI:16144],CHEBI:16144
phosphoric acid [ChEBI:26078],CHEBI:26078
dimethylselenide [ChEBI:4610],CHEBI:4610
trimethylselenonium [ChEBI:77058],CHEBI:77058
4-(trimethylammonio)butanoate [ChEBI:16244],CHEBI:16244
4-trimethylammoniobutanal [ChEBI:18020],CHEBI:18020
"3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine [ChEBI:15786]",CHEBI:15786
"N(6),N(6),N(6)-trimethyl-L-lysine [ChEBI:17311]",CHEBI:17311
L-histidinium(1+) [ChEBI:32513],CHEBI:32513
trans-urocanic acid [ChEBI:30817],CHEBI:30817
"3-(4-oxo-4,5-dihydro-1H-imidazol-5-yl)propanoic acid [ChEBI:27384]",CHEBI:27384
N-formimidoyl-L-glutamate(2-) [ChEBI:18327],CHEBI:18327
carnosine [ChEBI:15727],CHEBI:15727
5-formimidoyltetrahydrofolic acid [ChEBI:15639],CHEBI:15639
anserine [ChEBI:18323],CHEBI:18323
L-tryptophan zwitterion [ChEBI:57912],CHEBI:57912
L-tyrosine zwitterion [ChEBI:58315],CHEBI:58315
L-kynurenine [ChEBI:16946],CHEBI:16946
"4-(2-aminophenyl)-2,4-dioxobutanoic acid [ChEBI:17442]",CHEBI:17442
N-formylkynurenine [ChEBI:18377],CHEBI:18377
(R)-indole-3-lactic acid [ChEBI:55528],CHEBI:55528
3-(1H-indol-3-yl)propanoic acid [ChEBI:43580],CHEBI:43580
3-hydroxy-L-kynurenine [ChEBI:17380],CHEBI:17380
3-hydroxyanthranilic acid [ChEBI:15793],CHEBI:15793
2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate [ChEBI:29044],CHEBI:29044
nicotinic acid D-ribonucleotide [ChEBI:15763],CHEBI:15763
deamido-NAD(+) [ChEBI:18304],CHEBI:18304
D-ribosylnicotinate [ChEBI:58527],CHEBI:58527
quinolinate(2-) [ChEBI:29959],CHEBI:29959
N-ribosylnicotinamide [ChEBI:15927],CHEBI:15927
NMN(-) [ChEBI:14649],CHEBI:14649
(S)-NADPHX [ChEBI:64084],CHEBI:64084
(R)-NADPHX [ChEBI:64085],CHEBI:64085
nicotinate [ChEBI:32544],CHEBI:32544
heme b [ChEBI:26355],CHEBI:26355
prostaglandin G2 [ChEBI:27647],CHEBI:27647
prostaglandin H2 [ChEBI:15554],CHEBI:15554
(ADP-D-ribosyl)(n)-acceptor [ChEBI:133202],CHEBI:133202
(ADP-D-ribosyl)(n+1)-acceptor [ChEBI:133203],CHEBI:133203
NMNH [ChEBI:74452],CHEBI:74452
6-hydro-beta-NAD [ChEBI:90174],CHEBI:90174
2-hydro-beta-NAD [ChEBI:90171],CHEBI:90171
ADP-D-ribose(2-) [ChEBI:57967],CHEBI:57967
kynurenic acid [ChEBI:18344],CHEBI:18344
2-aminomuconic 6-semialdehyde [ChEBI:15745],CHEBI:15745
2-aminomuconic acid [ChEBI:16886],CHEBI:16886
3-methylbut-2-enoyl-CoA [ChEBI:15486],CHEBI:15486
trans-3-methylglutaconyl-CoA [ChEBI:15488],CHEBI:15488
4a-hydroxytetrahydrobiopterin [ChEBI:15374],CHEBI:15374
"6,7-dihydrobiopterin [ChEBI:20680]",CHEBI:20680
3-(indol-3-yl)pyruvic acid [ChEBI:29750],CHEBI:29750
keto-phenylpyruvate [ChEBI:18005],CHEBI:18005
homogentisate [ChEBI:16169],CHEBI:16169
4-maleylacetoacetate [ChEBI:17105],CHEBI:17105
(4-hydroxyphenyl)pyruvic acid [ChEBI:15999],CHEBI:15999
4-fumarylacetoacetate(2-) [ChEBI:18034],CHEBI:18034
glyoxylic acid [ChEBI:16891],CHEBI:16891
glycolate [ChEBI:29805],CHEBI:29805
4-hydroxy-2-oxoglutarate(2-) [ChEBI:17742],CHEBI:17742
4-hydroxy-L-glutamate(1-) [ChEBI:32812],CHEBI:32812
L-4-hydroxyglutamate semialdehyde zwitterion [ChEBI:62637],CHEBI:62637
1-pyrroline-3-hydroxy-5-carboxylic acid [ChEBI:27391],CHEBI:27391
hydrogen chloride [ChEBI:17883],CHEBI:17883
octanoyl group [ChEBI:25650],CHEBI:25650
tetra-mu3-sulfido-tetrairon [ChEBI:49883],CHEBI:49883
sulfur atom [ChEBI:26833],CHEBI:26833
5'-deoxyadenosine [ChEBI:17319],CHEBI:17319
D-aspartic acid [ChEBI:17364],CHEBI:17364
oxalic acid [ChEBI:16995],CHEBI:16995
N(6)-(S(8)-aminomethyldihydrolipoyl)-L-lysine residue [ChEBI:14949],CHEBI:14949
N(6)-dihydrolipoyl-L-lysine residue [ChEBI:50746],CHEBI:50746
"5,10-methylenetetrahydrofolate(2-) [ChEBI:12071]",CHEBI:12071
L-2-amino-3-oxobutanoate [ChEBI:16944],CHEBI:16944
L-threonine zwitterion [ChEBI:57926],CHEBI:57926
N(1)-acetylspermine [ChEBI:17312],CHEBI:17312
3-aminopropanal [ChEBI:18090],CHEBI:18090
N(1)-acetylspermidine [ChEBI:17927],CHEBI:17927
3-acetamidopropanal [ChEBI:30322],CHEBI:30322
agmatine [ChEBI:17431],CHEBI:17431
2-aminoacrylate [ChEBI:58020],CHEBI:58020
O-phospho-L-serine [ChEBI:15811],CHEBI:15811
3-phosphonooxypyruvic acid [ChEBI:30933],CHEBI:30933
"5,6-dihydroxyindole-2-carboxylic acid [ChEBI:2003]",CHEBI:2003
"5,6-Indolequinone-2-carboxylic acid [ChEBI:81394]",CHEBI:81394
dopachrome [ChEBI:49108],CHEBI:49108
leucodopachrome [ChEBI:60872],CHEBI:60872
L-dopaquinone [ChEBI:16852],CHEBI:16852
hydroxyl [ChEBI:29191],CHEBI:29191
"5,6-dihydroxyindole [ChEBI:27404]",CHEBI:27404
"2,5-S,S'-dicysteinyldopa [ChEBI:84298]",CHEBI:84298
Cysteinyldopa [ChEBI:81392],CHEBI:81392
2-S-cysteinyl-DOPA [ChEBI:84296],CHEBI:84296
6-(2-amino-2-carboxyethyl)-4-hydroxybenzothiazole [ChEBI:84343],CHEBI:84343
benzothiazine [ChEBI:46899],CHEBI:46899
"7-(2-amino-2-carboxyethyl)-5-hydroxy-2H-1,4-benzothiazine-3-carboxylic acid [ChEBI:84301]",CHEBI:84301
"7-(2-amino-2-carboxyethyl)-5-hydroxy-3,4-dihydro-2H-1,4-benzothiazin-3-one [ChEBI:84344]",CHEBI:84344
pyrroloquinoline quinone [ChEBI:18315],CHEBI:18315
3-iodo-L-tyrosine [ChEBI:27847],CHEBI:27847
"3,5-diiodo-L-tyrosine [ChEBI:15768]",CHEBI:15768
"3,3',5'-triiodothyronine [ChEBI:28774]",CHEBI:28774
iodide [ChEBI:16382],CHEBI:16382
diiodine [ChEBI:17606],CHEBI:17606
hydrogen iodide [ChEBI:43451],CHEBI:43451
L-thyroxine [ChEBI:18332],CHEBI:18332
N-acetylserotonin [ChEBI:17697],CHEBI:17697
5-hydroxy-L-tryptophan [ChEBI:17780],CHEBI:17780
2-oxoglutaramic acid [ChEBI:30882],CHEBI:30882
sedoheptulose [ChEBI:16802],CHEBI:16802
2-deoxy-D-ribose 5-phosphate [ChEBI:16132],CHEBI:16132
acetaldehyde [ChEBI:15343],CHEBI:15343
2-deoxy-alpha-D-ribose 1-phosphate [ChEBI:11563],CHEBI:11563
lactose [ChEBI:17716],CHEBI:17716
D-glucitol [ChEBI:17924],CHEBI:17924
D-glyceric acid [ChEBI:32398],CHEBI:32398
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91284],CHEBI:91284
alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91280],CHEBI:91280
D-mannopyranose [ChEBI:4208],CHEBI:4208
alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91279],CHEBI:91279
beta-D-Manp-(1->4)-beta-D-GlcpNAc [ChEBI:71553],CHEBI:71553
aldehydo-N-acetyl-D-glucosamine [ChEBI:17411],CHEBI:17411
glycan G00006 [ChEBI:53022],CHEBI:53022
dolichyl D-mannosyl phosphate [ChEBI:15809],CHEBI:15809
glycan G10595 [ChEBI:53023],CHEBI:53023
dolichyl phosphate [ChEBI:16214],CHEBI:16214
alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-2-alpha-D-GlcNAc(PP-Dol) [ChEBI:53742],CHEBI:53742
GDP-alpha-D-mannose [ChEBI:15820],CHEBI:15820
alpha-D-Man-(1->6)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc(PP-Dol) [ChEBI:59085],CHEBI:59085
beta-D-mannosyldiacetylchitobiosyldiphosphodolichol [ChEBI:18396],CHEBI:18396
diacetylchitobiosyldiphosphodolichol [ChEBI:18341],CHEBI:18341
N-acetyl-D-glucosaminyldiphosphodolichol [ChEBI:18278],CHEBI:18278
dolichyl diphosphate [ChEBI:15750],CHEBI:15750
dolichol [ChEBI:16091],CHEBI:16091
"ditrans,polycis-polyprenol [ChEBI:67132]",CHEBI:67132
polyprenyl diphosphate [ChEBI:37531],CHEBI:37531
(R)-5-diphosphomevalonic acid [ChEBI:15899],CHEBI:15899
(R)-5-phosphomevalonic acid [ChEBI:17436],CHEBI:17436
(R)-mevalonic acid [ChEBI:17710],CHEBI:17710
2-acetamido-2-deoxy-D-glucopyranose 1-phosphate [ChEBI:7125],CHEBI:7125
N-acetyl-D-glucosamine 6-phosphate [ChEBI:15784],CHEBI:15784
N-glycoloyl-D-glucosamine 6-phosphate [ChEBI:88130],CHEBI:88130
N-glycoloyl-D-glucosamine [ChEBI:27459],CHEBI:27459
aldehydo-N-acetyl-D-mannosamine [ChEBI:17122],CHEBI:17122
N-glycolyl-D-mannosamine [ChEBI:28255],CHEBI:28255
N-acetylneuraminic acid [ChEBI:17012],CHEBI:17012
N-glycoloylneuraminate [ChEBI:29025],CHEBI:29025
alpha-N-acetylneuraminyl-(2->3)-D-galactosyl group [ChEBI:75127],CHEBI:75127
alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl group [ChEBI:75130],CHEBI:75130
alpha-N-acetylneuraminyl-(2->6)-D-galactosyl group [ChEBI:75129],CHEBI:75129
alpha-N-acetylneuraminyl-(2->6)-N-acetyl-alpha-D-galactosaminyl group [ChEBI:62634],CHEBI:62634
alpha-D-galactosyl group [ChEBI:61248],CHEBI:61248
N-acetyl-D-galactosaminyl group [ChEBI:21507],CHEBI:21507
N-acetylneuraminyl group [ChEBI:75133],CHEBI:75133
N-acetylneuraminic acid 9-phosphate [ChEBI:27438],CHEBI:27438
aldehydo-N-acetyl-D-mannosamine 6-phosphate [ChEBI:28273],CHEBI:28273
dolichyl beta-D-glucosyl phosphate [ChEBI:15812],CHEBI:15812
D-mannose 6-phosphate [ChEBI:17369],CHEBI:17369
D-mannose 1-phosphate [ChEBI:35374],CHEBI:35374
GDP-4-dehydro-beta-L-fucose [ChEBI:86476],CHEBI:86476
GDP-4-dehydro-6-deoxy-alpha-D-mannose [ChEBI:16955],CHEBI:16955
beta-L-fucose 1-phosphate [ChEBI:12387],CHEBI:12387
beta-L-fucose [ChEBI:42589],CHEBI:42589
alpha-L-fucose [ChEBI:42548],CHEBI:42548
alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-alpha-GlcNAc(PP-Dol) [ChEBI:59088],CHEBI:59088
alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->6)-[alpha-Man-(1->2)-alpha-Man-(1->3)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-alpha-GlcNAc(PP-Dol) [ChEBI:59091],CHEBI:59091
alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-alpha-GlcNAc(PP-Dol) [ChEBI:37637],CHEBI:37637
alpha-Gal-(1->3)-alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-alpha-GlcNAc(PP-Dol) [ChEBI:59081],CHEBI:59081
glycan G10599 [ChEBI:53020],CHEBI:53020
glycan G00008 [ChEBI:53019],CHEBI:53019
N(4)-{alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60627],CHEBI:60627
N(4)-{alpha-D-Manp-(1->2)-alpha-D-Manp-(1->2)-alpha-D-Manp-(1->3)-[alpha-D-Manp-(1->3)-[alpha-D-Manp-(1->2)-alpha-D-Manp-(1->6)]-alpha-D-Manp-(1->6)]-beta-D-Manp-(1->4)-beta-D-GlcpNAc-(1->4)-beta-D-GlcpNAc}-Asn residue [ChEBI:60628],CHEBI:60628
N-{alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)-[alpha-Man-(1->6)-[alpha-Man-(1->2)-alpha-Man-(1->2)]-alpha-Man-(1->3)]-beta-Man-(1->4)-beta-GlcnAc-(1->4)-beta-GlcNAc}-L-Asn residue [ChEBI:59092],CHEBI:59092
N(4)-{alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-Asn residue [ChEBI:60629],CHEBI:60629
N-{alpha-Man-(1->3)-[alpha-Man-(1->3)-[alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNac}-L-Asn residue [ChEBI:59087],CHEBI:59087
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc [ChEBI:91283],CHEBI:91283
